Compteur	Temps	TemperatureC	EnthalpieVol	dHsurdT	Concentration_carbon	Concentration_chromium	ConcentrationLiquide_carbon	ConcentrationLiquide_chromium	FractionLiq	FractionBCC	FractionFCC	FractionM7C3	FractionCementite	CodeConvergence	
0	0	1394.85	8.13721e+09	5e+06	2	30	2	30	1	0	0	0	0	0	
10	1	1394.85	8.13721e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
20	2	1394.85	8.1372e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
30	3	1394.85	8.1372e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
40	4	1394.85	8.1372e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
50	5	1394.84	8.13717e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
60	6	1394.83	8.13709e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
70	7	1394.81	8.13697e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
80	8	1394.77	8.13677e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
90	9	1394.72	8.13652e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
100	10	1394.66	8.1362e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
110	11	1394.59	8.13582e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
120	12	1394.51	8.13539e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
130	13	1394.43	8.13491e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
140	14	1394.33	8.1344e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
150	15	1394.23	8.13386e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
160	16	1394.13	8.13329e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
170	17	1394.02	8.1327e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
180	18	1393.91	8.1321e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
190	19	1393.79	8.13149e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
200	20	1393.68	8.13086e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
210	21	1393.56	8.13023e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
220	22	1393.44	8.1296e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
230	23	1393.33	8.12896e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
240	24	1393.21	8.12832e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
250	25	1393.09	8.12768e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
260	26	1392.97	8.12705e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
270	27	1392.86	8.12641e+09	5.41495e+06	2	30	2	30	1	0	0	0	0	2	
280	28	1392.74	8.12578e+09	5.41495e+06	2	30	2	30	1	0	0	0	0	2	
290	29	1392.62	8.12516e+09	5.41495e+06	2	30	2	30	1	0	0	0	0	2	
300	30	1392.51	8.12453e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
310	31	1392.4	8.12392e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
320	32	1392.28	8.1233e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
330	33	1392.17	8.12269e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
340	34	1392.06	8.12209e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
350	35	1391.95	8.12149e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
360	36	1391.84	8.12089e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
370	37	1391.73	8.12031e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
380	38	1391.62	8.11972e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
390	39	1391.51	8.11914e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
400	40	1391.41	8.11857e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
410	41	1391.3	8.118e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
420	42	1391.2	8.11744e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
430	43	1391.1	8.11688e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
440	44	1390.99	8.11632e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
450	45	1390.89	8.11577e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
460	46	1390.79	8.11523e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
470	47	1390.69	8.11469e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
480	48	1390.59	8.11415e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
490	49	1390.49	8.11362e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
500	50	1390.4	8.11309e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
510	51	1390.3	8.11257e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
520	52	1390.2	8.11205e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
530	53	1390.11	8.11154e+09	5.40785e+06	2	30	2	30	1	0	0	0	0	2	
540	54	1390.01	8.11103e+09	5.40785e+06	2	30	2	30	1	0	0	0	0	2	
550	55	1389.92	8.11052e+09	5.40248e+06	2	30	2	30	1	0	0	0	0	2	
560	56	1389.83	8.11001e+09	5.40248e+06	2	30	2	30	1	0	0	0	0	2	
570	57	1389.74	8.10951e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
580	58	1389.64	8.10902e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
590	59	1389.55	8.10853e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
600	60	1389.46	8.10804e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
610	61	1389.37	8.10755e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
620	62	1389.28	8.10707e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
630	63	1389.19	8.10658e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
640	64	1389.1	8.10611e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
650	65	1389.02	8.10563e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
660	66	1388.93	8.10516e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
670	67	1388.84	8.10469e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
680	68	1388.75	8.10422e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
690	69	1388.67	8.10376e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
700	70	1388.58	8.10329e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
710	71	1388.5	8.10283e+09	5.39542e+06	2	30	2	30	1	0	0	0	0	2	
720	72	1388.41	8.10237e+09	5.39542e+06	2	30	2	30	1	0	0	0	0	2	
730	73	1388.33	8.10192e+09	5.39544e+06	2	30	2	30	1	0	0	0	0	2	
740	74	1388.24	8.10146e+09	5.39544e+06	2	30	2	30	1	0	0	0	0	2	
750	75	1388.16	8.10101e+09	5.39546e+06	2	30	2	30	1	0	0	0	0	2	
760	76	1388.08	8.10056e+09	5.39546e+06	2	30	2	30	1	0	0	0	0	2	
770	77	1387.99	8.10011e+09	5.39546e+06	2	30	2	30	1	0	0	0	0	2	
780	78	1387.91	8.09967e+09	5.39546e+06	2	30	2	30	1	0	0	0	0	2	
790	79	1387.83	8.09922e+09	5.39546e+06	2	30	2	30	1	0	0	0	0	2	
800	80	1387.75	8.09878e+09	5.39305e+06	2	30	2	30	1	0	0	0	0	2	
810	81	1387.66	8.09834e+09	5.39544e+06	2	30	2	30	1	0	0	0	0	2	
820	82	1387.58	8.0979e+09	5.39544e+06	2	30	2	30	1	0	0	0	0	2	
830	83	1387.5	8.09746e+09	5.39544e+06	2	30	2	30	1	0	0	0	0	2	
840	84	1387.42	8.09702e+09	5.39542e+06	2	30	2	30	1	0	0	0	0	2	
850	85	1387.34	8.09659e+09	5.39542e+06	2	30	2	30	1	0	0	0	0	2	
860	86	1387.26	8.09616e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
870	87	1387.18	8.09572e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
880	88	1387.1	8.09529e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
890	89	1387.02	8.09486e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
900	90	1386.94	8.09444e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
910	91	1386.86	8.09401e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
920	92	1386.78	8.09358e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
930	93	1386.7	8.09316e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
940	94	1386.63	8.09273e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
950	95	1386.55	8.09231e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
960	96	1386.47	8.09189e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
970	97	1386.39	8.09147e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
980	98	1386.31	8.09105e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
990	99	1386.24	8.09063e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
1000	100	1386.16	8.09022e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
1010	101	1386.08	8.0898e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
1020	102	1386	8.08938e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
1030	103	1385.93	8.08897e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
1040	104	1385.85	8.08855e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
1050	105	1385.77	8.08814e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
1060	106	1385.7	8.08773e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
1070	107	1385.62	8.08732e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
1080	108	1385.54	8.08691e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
1090	109	1385.47	8.0865e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
1100	110	1385.39	8.08609e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
1110	111	1385.32	8.08568e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
1120	112	1385.24	8.08527e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
1130	113	1385.17	8.08486e+09	5.39078e+06	2	30	2	30	1	0	0	0	0	2	
1140	114	1385.09	8.08445e+09	5.39078e+06	2	30	2	30	1	0	0	0	0	2	
1150	115	1385.02	8.08405e+09	5.39078e+06	2	30	2	30	1	0	0	0	0	2	
