Compteur	Temps	TemperatureC	EnthalpieVol	dHsurdT	Concentration_carbon	Concentration_chromium	ConcentrationLiquide_carbon	ConcentrationLiquide_chromium	FractionLiq	FractionBCC	FractionFCC	FractionM7C3	FractionCementite	CodeConvergence	
0	0	1394.85	8.13721e+09	5e+06	2	30	2	30	1	0	0	0	0	0	
10	1	1394.85	8.13721e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
20	2	1394.85	8.1372e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
30	3	1394.85	8.1372e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
40	4	1394.85	8.1372e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
50	5	1394.85	8.1372e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
60	6	1394.85	8.1372e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
70	7	1394.85	8.1372e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
80	8	1394.85	8.1372e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
90	9	1394.85	8.1372e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
100	10	1394.85	8.1372e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
110	11	1394.85	8.1372e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
120	12	1394.85	8.1372e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
130	13	1394.85	8.1372e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
140	14	1394.85	8.1372e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
150	15	1394.85	8.1372e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
160	16	1394.85	8.13719e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
170	17	1394.85	8.13719e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
180	18	1394.85	8.13718e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
190	19	1394.84	8.13718e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
200	20	1394.84	8.13716e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
210	21	1394.84	8.13715e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
220	22	1394.84	8.13713e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
230	23	1394.83	8.13711e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
240	24	1394.83	8.13709e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
250	25	1394.82	8.13706e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
260	26	1394.82	8.13703e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
270	27	1394.81	8.13699e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
280	28	1394.8	8.13695e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
290	29	1394.79	8.13691e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
300	30	1394.79	8.13686e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
310	31	1394.78	8.1368e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
320	32	1394.76	8.13674e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
330	33	1394.75	8.13668e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
340	34	1394.74	8.13661e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
350	35	1394.73	8.13653e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
360	36	1394.71	8.13646e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
370	37	1394.7	8.13637e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
380	38	1394.68	8.13629e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
390	39	1394.66	8.13619e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
400	40	1394.65	8.1361e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
410	41	1394.63	8.136e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
420	42	1394.61	8.13589e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
430	43	1394.59	8.13579e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
440	44	1394.57	8.13567e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
450	45	1394.55	8.13556e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
460	46	1394.52	8.13544e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
470	47	1394.5	8.13532e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
480	48	1394.48	8.13519e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
490	49	1394.45	8.13506e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
500	50	1394.43	8.13493e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
510	51	1394.4	8.13479e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
520	52	1394.38	8.13465e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
530	53	1394.35	8.13451e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
540	54	1394.32	8.13436e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
550	55	1394.3	8.13421e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
560	56	1394.27	8.13406e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
570	57	1394.24	8.13391e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
580	58	1394.21	8.13375e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
590	59	1394.18	8.13359e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
600	60	1394.15	8.13343e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
610	61	1394.12	8.13327e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
620	62	1394.09	8.1331e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
630	63	1394.06	8.13294e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
640	64	1394.03	8.13277e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
650	65	1394	8.1326e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
660	66	1393.97	8.13242e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
670	67	1393.93	8.13225e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
680	68	1393.9	8.13207e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
690	69	1393.87	8.13189e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
700	70	1393.83	8.13171e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
710	71	1393.8	8.13153e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
720	72	1393.77	8.13134e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
730	73	1393.73	8.13116e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
740	74	1393.7	8.13097e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
750	75	1393.66	8.13078e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
760	76	1393.63	8.13059e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
770	77	1393.59	8.1304e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
780	78	1393.56	8.1302e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
790	79	1393.52	8.13001e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
800	80	1393.48	8.12981e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
810	81	1393.45	8.12962e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
820	82	1393.41	8.12942e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
830	83	1393.37	8.12922e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
840	84	1393.34	8.12902e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
850	85	1393.3	8.12881e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
860	86	1393.26	8.12861e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
870	87	1393.23	8.12841e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
880	88	1393.19	8.1282e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
890	89	1393.15	8.12799e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
900	90	1393.11	8.12779e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
910	91	1393.07	8.12758e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
920	92	1393.03	8.12737e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
930	93	1392.99	8.12716e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
940	94	1392.95	8.12694e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
950	95	1392.92	8.12673e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
960	96	1392.88	8.12652e+09	5.41495e+06	2	30	2	30	1	0	0	0	0	2	
970	97	1392.84	8.1263e+09	5.41495e+06	2	30	2	30	1	0	0	0	0	2	
980	98	1392.8	8.12609e+09	5.41495e+06	2	30	2	30	1	0	0	0	0	2	
990	99	1392.76	8.12587e+09	5.41495e+06	2	30	2	30	1	0	0	0	0	2	
1000	100	1392.72	8.12565e+09	5.41495e+06	2	30	2	30	1	0	0	0	0	2	
1010	101	1392.68	8.12543e+09	5.41495e+06	2	30	2	30	1	0	0	0	0	2	
1020	102	1392.64	8.12521e+09	5.41495e+06	2	30	2	30	1	0	0	0	0	2	
1030	103	1392.59	8.12499e+09	5.41495e+06	2	30	2	30	1	0	0	0	0	2	
1040	104	1392.55	8.12477e+09	5.41495e+06	2	30	2	30	1	0	0	0	0	2	
1050	105	1392.51	8.12455e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
1060	106	1392.47	8.12433e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
1070	107	1392.43	8.1241e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
1080	108	1392.39	8.12388e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
1090	109	1392.35	8.12365e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
1100	110	1392.31	8.12343e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
1110	111	1392.26	8.1232e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
1120	112	1392.22	8.12297e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
1130	113	1392.18	8.12274e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
1140	114	1392.14	8.12251e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
1150	115	1392.09	8.12228e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
